Variable Star,Number of Observations,Number of Observers,First Observation JD / UT,Latest Observation JD / UT,Maximum Magnitude,Minimum Magnitude,Range
HV CAS,2,1,2447772.518056 3 Sep 1989 00:26:00.038400,2447772.523611 3 Sep 1989 00:33:59.990400,10.800,10.800,0.000 
HV LIB,6,1,2451261.110000 23 Mar 1999 14:38:24.000000,2459705.462000 5 May 2022 23:05:16.800000,8.100,8.500,0.400 
HV VIR,892,10,2448278.613100 22 Jan 1991 02:42:51.840000,2459732.458000 1 Jun 2022 22:59:31.200000,12.400,19.100,6.700 
HW BOO,402,2,2454169.636100 10 Mar 2007 03:15:59.040000,2459775.446000 14 Jul 2022 22:42:14.400000,13.600,17.710,4.110 
HW CYG,1,1,2448163.457000 28 Sep 1990 22:58:04.800000,2448163.457000 28 Sep 1990 22:58:04.800000,10.900,10.900,0.000 
HW TAU,1,1,2451585.326400 10 Feb 2000 19:50:00.960000,2451585.326400 10 Feb 2000 19:50:00.960000,12.900,12.900,0.000 
HX PEG,439,9,2450695.555500 4 Sep 1997 01:19:55.200000,2458434.381000 11 Nov 2018 21:08:38.400000,12.300,15.800,3.500 
HY LUP,1,1,2456457.901000 14 Jun 2013 09:37:26.400000,2456457.901000 14 Jun 2013 09:37:26.400000,13.900,13.900,0.000 
HY Psc,116,4,2452854.546500 3 Aug 2003 01:06:57.600000,2455475.538900 6 Oct 2010 00:56:00.960000,13.200,18.090,4.890 
HZ CYG,1,1,2449780.694000 4 Mar 1995 04:39:21.600000,2449780.694000 4 Mar 1995 04:39:21.600000,11.700,11.700,0.000 
HZ HER,582,5,2449897.471500 28 Jun 1995 23:18:57.600000,2453883.524300 28 May 2006 00:34:59.520000,12.700,14.800,2.100 
HZ Lib,2,1,2451262.249000 24 Mar 1999 17:58:33.600000,2452029.458000 29 Apr 2001 22:59:31.200000,8.200,8.500,0.300 
I PER (0242+37),1,1,2452576.267400 28 Oct 2002 18:25:03.360000,2452576.267400 28 Oct 2002 18:25:03.360000,9.300,9.300,0.000 
IK GEM,1,1,2449737.336000 19 Jan 1995 20:03:50.400000,2449737.336000 19 Jan 1995 20:03:50.400000,10.200,10.200,0.000 
IK LEO,135,1,2457506.399000 27 Apr 2016 21:34:33.600000,2459721.426000 21 May 2022 22:13:26.400000,13.600,15.900,2.300 
IK NOR,1,1,2456552.904000 17 Sep 2013 09:41:45.600000,2456552.904000 17 Sep 2013 09:41:45.600000,13.400,13.400,0.000 
IK TAU,8,2,2452290.456300 15 Jan 2002 22:57:04.320000,2455262.300700 6 Mar 2010 19:13:00.480000,13.300,14.600,1.300 
IK Uma,4,1,2459657.417000 18 Mar 2022 22:00:28.800000,2459758.501000 28 Jun 2022 00:01:26.400000,9.600,9.600,0.000 
IK VUL,1,1,2450217.538000 14 May 1996 00:54:43.200000,2450217.538000 14 May 1996 00:54:43.200000,11.200,11.200,0.000 
IL Vul,1,1,2455022.467400 9 Jul 2009 23:13:03.360000,2455022.467400 9 Jul 2009 23:13:03.360000,15.900,15.900,0.000 
IM AUR,816,4,2449746.566700 29 Jan 1995 01:36:02.880000,2459138.624000 16 Oct 2020 02:58:33.600000,7.700,8.600,0.900 
IN HYA,36,1,2445708.453000 8 Jan 1984 22:52:19.200000,2459677.392000 7 Apr 2022 21:24:28.800000,6.500,7.400,0.900 
IN PER,1,1,2448193.381000 28 Oct 1990 21:08:38.400000,2448193.381000 28 Oct 1990 21:08:38.400000,11.400,11.400,0.000 
IO DEL,737,1,2449919.530500 21 Jul 1995 00:43:55.200000,2459904.303000 20 Nov 2022 19:16:19.200000,14.000,16.000,2.000 
IO NOR,1,1,2456552.901000 17 Sep 2013 09:37:26.400000,2456552.901000 17 Sep 2013 09:37:26.400000,11.300,11.300,0.000 
IP PEG,4084,25,2447464.384000 29 Oct 1988 21:12:57.600000,2459909.404900 25 Nov 2022 21:43:03.360000,11.000,16.830,5.830 
IP PER,1,1,2455506.366700 5 Nov 2010 20:48:02.880000,2455506.366700 5 Nov 2010 20:48:02.880000,14.400,14.400,0.000 
IQ CYG,1,1,2450686.460000 25 Aug 1997 23:02:24.000000,2450686.460000 25 Aug 1997 23:02:24.000000,11.200,11.200,0.000 
IQ HER,2022,69,2441054.600000 13 Apr 1971 02:24:00.000000,2459904.335000 20 Nov 2022 20:02:24.000000,5.900,8.600,2.700 
IQ PER,1015,6,2447941.299000 18 Feb 1990 19:10:33.600000,2459870.329000 17 Oct 2022 19:53:45.600000,6.800,8.700,1.900 
IQ UMA,11,1,2454737.350700 27 Sep 2008 20:25:00.480000,2459001.448000 31 May 2020 22:45:07.200000,4.000,4.600,0.600 
IR CEP,1,1,2449753.545100 5 Feb 1995 01:04:56.640000,2449753.545100 5 Feb 1995 01:04:56.640000,8.200,8.200,0.000 
IR COM,754,6,2450116.548600 3 Feb 1996 01:09:59.040000,2459757.453000 26 Jun 2022 22:52:19.200000,13.500,18.300,4.800 
IR GEM,8110,39,2441275.500000 20 Nov 1971 00:00:00.000000,2459703.378000 3 May 2022 21:04:19.200000,8.500,16.500,8.000 
IR LYR,169,2,2449473.495000 30 Apr 1994 23:52:48.000000,2453886.555600 31 May 2006 01:20:03.840000,13.800,15.800,2.000 
IRAS 03536+6235,37,2,2458367.573000 6 Sep 2018 01:45:07.200000,2458869.413300 20 Jan 2020 21:55:09.120000,14.200,15.800,1.600 
IRAS 21443+4329,260,1,2453144.568100 19 May 2004 01:38:03.840000,2457206.526000 3 Jul 2015 00:37:26.400000,11.700,16.500,4.800 
IS GEM,2022,54,2440487.656000 23 Sep 1969 03:44:38.400000,2459599.278000 19 Jan 2022 18:40:19.200000,5.200,6.660,1.460 
IS SGE,1,1,2450667.435000 6 Aug 1997 22:26:24.000000,2450667.435000 6 Aug 1997 22:26:24.000000,9.300,9.300,0.000 
ISV 0115+63 CAS,122,1,2450386.425600 29 Oct 1996 22:12:51.840000,2451438.539500 17 Sep 1999 00:56:52.800000,13.680,15.400,1.720 
IU AUR,58,3,2449597.558000 2 Sep 1994 01:23:31.200000,2458482.338800 29 Dec 2018 20:07:52.320000,6.900,9.000,2.100 
IU GEM,1,1,2450810.455000 27 Dec 1997 22:55:12.000000,2450810.455000 27 Dec 1997 22:55:12.000000,12.300,12.300,0.000 
IU LEO,168,2,2456414.835000 2 May 2013 08:02:24.000000,2459721.425000 21 May 2022 22:12:00.000000,12.800,15.700,2.900 
IU ORI,19,3,2440229.347000 7 Jan 1969 20:19:40.800000,2453800.377000 5 Mar 2006 21:02:52.800000,8.400,9.600,1.200 
IU TAU,1,1,2448546.554000 17 Oct 1991 01:17:45.600000,2448546.554000 17 Oct 1991 01:17:45.600000,11.300,11.300,0.000 
IV Cep,1,1,2457308.444000 12 Oct 2015 22:39:21.600000,2457308.444000 12 Oct 2015 22:39:21.600000,14.000,14.000,0.000 
IW AND,501,3,2453044.320800 8 Feb 2004 19:41:57.120000,2459904.411000 20 Nov 2022 21:51:50.400000,13.600,16.300,2.700 
IW Car,7,1,2446527.986000 7 Apr 1986 11:39:50.400000,2451260.940000 23 Mar 1999 10:33:36.000000,8.000,8.400,0.400 
IW VIR,19,1,2458616.441000 12 May 2019 22:35:02.400000,2459705.464000 5 May 2022 23:08:09.600000,9.300,10.000,0.700 
IX DRA,360,2,2452046.496500 16 May 2001 23:54:57.600000,2459482.388800 24 Sep 2021 21:19:52.320000,14.300,16.000,1.700 
IX LYR,2,1,2456141.447200 1 Aug 2012 22:43:58.080000,2456158.359700 18 Aug 2012 20:37:58.080000,12.900,14.500,1.600 
IX VEL,5,2,2451744.429200 18 Jul 2000 22:18:02.880000,2452606.631300 28 Nov 2002 03:09:04.320000,9.500,10.000,0.500 
IY UMA,778,5,2451581.538800 7 Feb 2000 00:55:52.320000,2459732.470000 1 Jun 2022 23:16:48.000000,12.800,18.700,5.900 
IZ PER,173,2,2443777.313000 25 Sep 1978 19:30:43.200000,2457310.494000 14 Oct 2015 23:51:21.600000,7.450,8.800,1.350 
J0037+537,8,1,2447860.378000 29 Nov 1989 21:04:19.200000,2450807.396000 24 Dec 1997 21:30:14.400000,10.700,12.400,1.700 
J0231+488,4,1,2447886.465000 25 Dec 1989 23:09:36.000000,2450008.359000 17 Oct 1995 20:36:57.600000,9.400,10.300,0.900 
J0326+671,3,1,2447905.301000 13 Jan 1990 19:13:26.400000,2450490.431000 10 Feb 1997 22:20:38.400000,10.800,11.600,0.800 
J0516+307,7,1,2447915.538000 24 Jan 1990 00:54:43.200000,2450808.472000 25 Dec 1997 23:19:40.800000,8.900,10.200,1.300 
J0629+205 GEM,3,1,2452649.333300 9 Jan 2003 19:59:57.120000,2452729.447900 30 Mar 2003 22:44:58.560000,12.200,12.300,0.100 
J1925+439,1,1,2450814.281000 31 Dec 1997 18:44:38.400000,2450814.281000 31 Dec 1997 18:44:38.400000,12.400,12.400,0.000 
J2100+204,9,1,2448116.506000 13 Aug 1990 00:08:38.400000,2450666.456000 5 Aug 1997 22:56:38.400000,10.900,12.500,1.600 
J2217+604,8,1,2447941.302000 18 Feb 1990 19:14:52.800000,2450743.362000 21 Oct 1997 20:41:16.800000,9.400,10.600,1.200 
J2304+585,7,1,2448193.320000 28 Oct 1990 19:40:48.000000,2450217.522000 14 May 1996 00:31:40.800000,10.400,11.700,1.300 
KAPPA OPH,238,8,2440420.516000 18 Jul 1969 00:23:02.400000,2451133.243000 15 Nov 1998 17:49:55.200000,2.850,3.840,0.990 
KAPPA PAV,3,1,2445227.232000 14 Sep 1982 17:34:04.800000,2445229.271000 16 Sep 1982 18:30:14.400000,4.100,4.800,0.700 
KIC 11390659,2,1,2459877.470000 24 Oct 2022 23:16:48.000000,2459896.264000 12 Nov 2022 18:20:09.600000,12.700,14.500,1.800 
KIC 8462852,23,1,2458682.523900 18 Jul 2019 00:34:24.960000,2459085.397900 23 Aug 2020 21:32:58.560000,11.800,11.800,0.000 
KIS J192651.94+503301.7,6,1,2458391.426000 29 Sep 2018 22:13:26.400000,2458421.400000 29 Oct 2018 21:36:00.000000,12.400,15.700,3.300 
KK PER,2024,54,2440689.400000 12 Apr 1970 21:36:00.000000,2459908.260000 24 Nov 2022 18:14:24.000000,7.000,9.000,2.000 
KK TEL,2,1,2456562.848000 27 Sep 2013 08:21:07.200000,2456573.899000 8 Oct 2013 09:34:33.600000,15.000,15.000,0.000 
KL AND,2,1,2447886.475000 25 Dec 1989 23:24:00.000000,2447886.488889 25 Dec 1989 23:44:00.009600,10.500,10.500,0.000 
KL CYG,7,2,2448008.624000 27 Apr 1990 02:58:33.600000,2459107.442000 14 Sep 2020 22:36:28.800000,11.000,14.500,3.500 
KL LYR,3,2,2448418.474000 10 Jun 1991 23:22:33.600000,2456158.355600 18 Aug 2012 20:32:03.840000,11.400,12.100,0.700 
KM LAC,145,1,2453322.385400 12 Nov 2004 21:14:58.560000,2459365.523000 31 May 2021 00:33:07.200000,14.700,15.800,1.100 
KN Aql,9,1,2455854.267000 19 Oct 2011 18:24:28.800000,2456267.231000 5 Dec 2012 17:32:38.400000,8.500,9.400,0.900 
KN GEM,22,3,2451146.546500 29 Nov 1998 01:06:57.600000,2453359.525700 20 Dec 2004 00:37:00.480000,12.900,15.600,2.700 
KO CAS,1,1,2449309.440000 17 Nov 1993 22:33:36.000000,2449309.440000 17 Nov 1993 22:33:36.000000,10.400,10.400,0.000 
KP AUR,1,1,2448572.489000 11 Nov 1991 23:44:09.600000,2448572.489000 11 Nov 1991 23:44:09.600000,11.300,11.300,0.000 
KP CAS,57,3,2454767.270800 27 Oct 2008 18:29:57.120000,2459319.388000 14 Apr 2021 21:18:43.200000,12.800,16.100,3.300 
KP DEL,89,3,2455752.433000 9 Jul 2011 22:23:31.200000,2459904.281000 20 Nov 2022 18:44:38.400000,6.300,8.800,2.500 
KQ AND,16,1,2455928.442000 1 Jan 2012 22:36:28.800000,2456724.300000 7 Mar 2014 19:12:00.000000,8.200,8.700,0.500 
KQ AQL,1,1,2448398.533000 22 May 1991 00:47:31.200000,2448398.533000 22 May 1991 00:47:31.200000,10.100,10.100,0.000 
KQ LAC,1,1,2450814.307000 31 Dec 1997 19:22:04.800000,2450814.307000 31 Dec 1997 19:22:04.800000,10.800,10.800,0.000 
KR AUR,466,5,2451146.554800 29 Nov 1998 01:18:54.720000,2459887.580000 4 Nov 2022 01:55:12.000000,12.500,21.000,8.500 
KR CAM,7,1,2447883.452000 22 Dec 1989 22:50:52.800000,2450810.467000 27 Dec 1997 23:12:28.800000,10.600,11.800,1.200 
KS Ori,15,2,2440285.330000 4 Mar 1969 19:55:12.000000,2443236.367000 2 Apr 1977 20:48:28.800000,9.200,10.100,0.900 
KS UMA,738,5,2450847.334000 2 Feb 1998 20:00:57.600000,2459739.447000 8 Jun 2022 22:43:40.800000,12.200,16.600,4.400 
KT ERI,204,3,2455162.470000 26 Nov 2009 23:16:48.000000,2459646.344000 7 Mar 2022 20:15:21.600000,8.500,15.700,7.200 
KT MON,16,1,2452735.348600 5 Apr 2003 20:21:59.040000,2453267.656900 19 Sep 2004 03:45:56.160000,13.400,13.900,0.500 
KT PER,1688,11,2449766.382600 17 Feb 1995 21:10:56.640000,2459904.403000 20 Nov 2022 21:40:19.200000,11.500,15.800,4.300 
KU CAS,1506,8,2450302.448000 6 Aug 1996 22:45:07.200000,2459904.388000 20 Nov 2022 21:18:43.200000,12.800,17.900,5.100 
KV AND,721,3,2449544.559000 11 Jul 1994 01:24:57.600000,2457298.437000 2 Oct 2015 22:29:16.800000,13.700,19.400,5.700 
KV BOO,227,1,2451953.469100 12 Feb 2001 23:15:30.240000,2459464.336800 6 Sep 2021 20:04:59.520000,7.500,14.400,6.900 
KV DRA,654,5,2452013.529900 14 Apr 2001 00:43:03.360000,2459896.265000 12 Nov 2022 18:21:36.000000,13.200,17.600,4.400 
KV UMA,654,6,2451640.371000 5 Apr 2000 20:54:14.400000,2459732.472000 1 Jun 2022 23:19:40.800000,12.200,16.500,4.300 
KV VIR,1,1,2458627.458000 23 May 2019 22:59:31.200000,2458627.458000 23 May 2019 22:59:31.200000,8.000,8.000,0.000 
KW AND,542,2,2450160.331200 17 Mar 1996 19:56:55.680000,2455833.481300 28 Sep 2011 23:33:04.320000,14.000,18.600,4.600 
KW CAS,1,1,2450727.373000 5 Oct 1997 20:57:07.200000,2450727.373000 5 Oct 1997 20:57:07.200000,11.000,11.000,0.000 
KW HYA,32,1,2446475.431000 13 Feb 1986 22:20:38.400000,2447610.384000 24 Mar 1989 21:12:57.600000,5.750,6.430,0.680 
KX AND,468,2,2446351.288000 12 Oct 1985 18:54:43.200000,2459272.736000 27 Feb 2021 05:39:50.400000,6.800,7.300,0.500 
KX AQL,1054,10,2451066.321000 9 Sep 1998 19:42:14.400000,2459888.315000 4 Nov 2022 19:33:36.000000,12.400,19.400,7.000 
KX ORI,301,4,2443145.409000 1 Jan 1977 21:48:57.600000,2458401.688000 10 Oct 2018 04:30:43.200000,6.800,8.200,1.400 
KY AND,462,2,2446351.288000 12 Oct 1985 18:54:43.200000,2459272.736000 27 Feb 2021 05:39:50.400000,6.300,7.100,0.800 
KZ CYG,24,2,2447673.513194 27 May 1989 00:18:59.961600,2451818.352000 30 Sep 2000 20:26:52.800000,10.100,13.200,3.100 
KZ HER,2,1,2447710.466667 2 Jul 1989 23:12:00.028800,2447710.468750 2 Jul 1989 23:15:00.000000,11.700,11.700,0.000 
L2 PUP,16,2,2445227.631000 15 Sep 1982 03:08:38.400000,2453339.010000 29 Nov 2004 12:14:24.000000,4.200,7.400,3.200 
LAMBDA PAV,3,1,2445227.230000 14 Sep 1982 17:31:12.000000,2451262.300000 24 Mar 1999 19:12:00.000000,3.900,4.300,0.400 
LAMBDA TAU,536,12,2411741.319444 8 Jan 1891 19:39:59.961600,2459631.377100 20 Feb 2022 21:03:01.440000,3.000,4.200,1.200 
LANNING 17,488,4,2450568.638800 30 Apr 1997 03:19:52.320000,2457219.460000 15 Jul 2015 23:02:24.000000,13.400,15.500,2.100 
LL AND,1799,13,2448269.385400 12 Jan 1991 21:14:58.560000,2459904.413000 20 Nov 2022 21:54:43.200000,12.800,18.200,5.400 
LL HER,1,1,2449518.484000 14 Jun 1994 23:36:57.600000,2449518.484000 14 Jun 1994 23:36:57.600000,10.400,10.400,0.000 
LL LYR,1724,11,2450283.456000 18 Jul 1996 22:56:38.400000,2459906.276000 22 Nov 2022 18:37:26.400000,10.800,17.200,6.400 
LL Ori,1,1,2459273.375000 27 Feb 2021 21:00:00.000000,2459273.375000 27 Feb 2021 21:00:00.000000,10.400,10.400,0.000 
LL VIR,18,1,2450932.425600 28 Apr 1998 22:12:51.840000,2459705.481000 5 May 2022 23:32:38.400000,7.200,8.050,0.850 
LM CYG,1,1,2448857.505000 23 Aug 1992 00:07:12.000000,2448857.505000 23 Aug 1992 00:07:12.000000,11.200,11.200,0.000 
LM HER,1,1,2450006.354000 15 Oct 1995 20:29:45.600000,2450006.354000 15 Oct 1995 20:29:45.600000,11.000,11.000,0.000 
LO AUR,1,1,2448601.416000 10 Dec 1991 21:59:02.400000,2448601.416000 10 Dec 1991 21:59:02.400000,10.800,10.800,0.000 
LP CAM,2,1,2447905.317000 13 Jan 1990 19:36:28.800000,2449278.404000 17 Oct 1993 21:41:45.600000,11.000,11.900,0.900 
LP CYG,1,1,2448011.560000 30 Apr 1990 01:26:24.000000,2448011.560000 30 Apr 1990 01:26:24.000000,9.900,9.900,0.000 
LP ORI,25,3,2440285.330000 4 Mar 1969 19:55:12.000000,2453795.362000 28 Feb 2006 20:41:16.800000,7.900,9.300,1.400 
LQ CMa,2,1,2451254.047000 16 Mar 1999 13:07:40.800000,2451261.914000 24 Mar 1999 09:56:09.600000,6.700,7.000,0.300 
LQ CYG,1,1,2448397.485000 20 May 1991 23:38:24.000000,2448397.485000 20 May 1991 23:38:24.000000,9.600,9.600,0.000 
LQ Del,1,1,2459855.337000 2 Oct 2022 20:05:16.800000,2459855.337000 2 Oct 2022 20:05:16.800000,8.600,8.600,0.000 
LQ HER,16,2,2444333.333333 3 Apr 1980 19:59:59.971200,2459726.494000 26 May 2022 23:51:21.600000,6.000,7.700,1.700 
LR Ori,1,1,2459273.376000 27 Feb 2021 21:01:26.400000,2459273.376000 27 Feb 2021 21:01:26.400000,11.800,11.800,0.000 
LS AND,2676,17,2447537.313800 10 Jan 1989 19:31:52.320000,2459904.413000 20 Nov 2022 21:54:43.200000,11.600,17.500,5.900 
LS CAM,37,1,2453848.422200 22 Apr 2006 22:07:58.080000,2454086.380600 16 Dec 2006 21:08:03.840000,15.100,17.160,2.060 
LS PEG,95,2,2453935.579200 19 Jul 2006 01:54:02.880000,2459523.424000 4 Nov 2021 22:10:33.600000,11.500,12.200,0.700 
LT ERI,7,1,2455140.629200 5 Nov 2009 03:06:02.880000,2455259.447900 3 Mar 2010 22:44:58.560000,15.600,17.600,2.000 
LU CAM,148,4,2453029.419400 24 Jan 2004 22:03:56.160000,2456720.420000 3 Mar 2014 22:04:48.000000,14.100,17.300,3.200 
LU DEL,4,3,2452586.323600 7 Nov 2002 19:45:59.040000,2458721.457000 25 Aug 2019 22:58:04.800000,5.900,6.600,0.700 
LU GEM,710,2,2450916.402000 12 Apr 1998 21:38:52.800000,2459685.342000 15 Apr 2022 20:12:28.800000,6.000,7.500,1.500 
LV CNC,2,1,2454970.536800 19 May 2009 00:52:59.520000,2454975.516700 24 May 2009 00:24:02.880000,17.800,17.800,0.000 
LV CYG,11,2,2452790.495800 30 May 2003 23:53:57.120000,2456151.447200 11 Aug 2012 22:43:58.080000,10.800,14.000,3.200 
LV VUL,391,10,2439961.594000 15 Apr 1968 02:15:21.600000,2440574.253000 18 Dec 1969 18:04:19.200000,4.660,12.510,7.850 
LX AND,899,5,2451541.315000 28 Dec 1999 19:33:36.000000,2459904.404000 20 Nov 2022 21:41:45.600000,11.900,16.200,4.300 
LX CEP,1,1,2448270.292000 13 Jan 1991 19:00:28.800000,2448270.292000 13 Jan 1991 19:00:28.800000,11.000,11.000,0.000 
LX CYG,11,2,2452738.618800 9 Apr 2003 02:51:04.320000,2452882.420100 30 Aug 2003 22:04:56.640000,10.700,11.200,0.500 
LX LAC,3,1,2458552.583100 10 Mar 2019 01:59:39.840000,2458558.485000 15 Mar 2019 23:38:24.000000,11.100,11.200,0.100 
LX PER,10,1,2453944.527100 28 Jul 2006 00:39:01.440000,2457291.680000 26 Sep 2015 04:19:12.000000,8.420,9.050,0.630 
LX SER,1067,1,2448337.562500 22 Mar 1991 01:30:00.000000,2459779.443000 18 Jul 2022 22:37:55.200000,13.800,16.100,2.300 
LY AUR,2294,7,2443580.285000 12 Mar 1978 18:50:24.000000,2459704.406000 4 May 2022 21:44:38.400000,6.500,8.800,2.300 
LY DEL,60,2,2447616.667000 31 Mar 1989 04:00:28.800000,2453591.365300 8 Aug 2005 20:46:01.920000,10.200,13.300,3.100 
LY HYA,3,1,2456453.869000 10 Jun 2013 08:51:21.600000,2456477.835000 4 Jul 2013 08:02:24.000000,13.100,15.400,2.300 
LZ MUS,24,2,2451184.187000 5 Jan 1999 16:29:16.800000,2451241.490000 3 Mar 1999 23:45:36.000000,11.000,14.300,3.300 
LZ Ori,1,1,2459273.381000 27 Feb 2021 21:08:38.400000,2459273.381000 27 Feb 2021 21:08:38.400000,9.800,9.800,0.000 
MARKARIAN 421,6449,25,2443172.740000 29 Jan 1977 05:45:36.000000,2459877.693000 25 Oct 2022 04:37:55.200000,8.400,14.900,6.500 
MARKARIAN 501,63,3,2452020.632000 21 Apr 2001 03:10:04.800000,2459720.503000 21 May 2022 00:04:19.200000,13.000,13.900,0.900 
MARKARIAN 509,301,3,2444815.478000 29 Jul 1981 23:28:19.200000,2459413.492000 17 Jul 2021 23:48:28.800000,13.700,14.800,1.100 
MASTER OT J023406.06+384142.4,1,1,2458325.547000 26 Jul 2018 01:07:40.800000,2458325.547000 26 Jul 2018 01:07:40.800000,15.900,15.900,0.000 
MASTER OT J030227.28+191754.5,16,1,2459550.301000 1 Dec 2021 19:13:26.400000,2459615.293000 4 Feb 2022 19:01:55.200000,12.900,15.600,2.700 
MASTER OT J162717.0+040559,4,1,2458668.469000 3 Jul 2019 23:15:21.600000,2458678.479000 13 Jul 2019 23:29:45.600000,13.500,15.200,1.700 
MASTER OT J174902.10+191331.2,1,1,2456162.395800 22 Aug 2012 21:29:57.120000,2456162.395800 22 Aug 2012 21:29:57.120000,14.500,14.500,0.000 
MIS V0380,4,1,2452080.479200 19 Jun 2001 23:30:02.880000,2452129.390300 7 Aug 2001 21:22:01.920000,13.800,14.200,0.400 
MIS V0814,31,1,2453267.581300 19 Sep 2004 01:57:04.320000,2453795.396500 28 Feb 2006 21:30:57.600000,13.900,14.600,0.700 
MIS V1448,160,1,2457328.361000 1 Nov 2015 20:39:50.400000,2459904.324000 20 Nov 2022 19:46:33.600000,12.400,15.700,3.300 
miu CEP,13680,183,2411744.500000 12 Jan 1891 00:00:00.000000,2459904.271000 20 Nov 2022 18:30:14.400000,3.200,5.080,1.880 
MIU GEM,20,1,2458088.490000 30 Nov 2017 23:45:36.000000,2458966.354000 26 Apr 2020 20:29:45.600000,2.800,3.500,0.700 
MM HYA,21,1,2452701.377100 2 Mar 2003 21:03:01.440000,2453830.365000 4 Apr 2006 20:45:36.000000,12.600,14.700,2.100 
MN DRA,165,1,2452793.518800 3 Jun 2003 00:27:04.320000,2454253.534000 2 Jun 2007 00:48:57.600000,14.300,16.200,1.900 
MN LAC,1,1,2455180.446500 14 Dec 2009 22:42:57.600000,2455180.446500 14 Dec 2009 22:42:57.600000,16.900,16.900,0.000 
MO CEP,111,2,2451516.385000 3 Dec 1999 21:14:24.000000,2459852.410000 29 Sep 2022 21:50:24.000000,5.000,6.500,1.500 
MQ CAS,1,1,2449692.442000 5 Dec 1994 22:36:28.800000,2449692.442000 5 Dec 1994 22:36:28.800000,10.500,10.500,0.000 
MR CAM,2,1,2447860.430000 29 Nov 1989 22:19:12.000000,2449753.387000 4 Feb 1995 21:17:16.800000,11.700,12.300,0.600 
MR Ori,1,1,2459273.388000 27 Feb 2021 21:18:43.200000,2459273.388000 27 Feb 2021 21:18:43.200000,10.800,10.800,0.000 
MR SER,19,1,2454970.622900 19 May 2009 02:56:58.560000,2455816.460400 11 Sep 2011 23:02:58.560000,15.510,18.760,3.250 
MR UMA,398,2,2452692.308300 21 Feb 2003 19:23:57.120000,2459769.451000 8 Jul 2022 22:49:26.400000,12.200,16.500,4.300 
MS SER,20,3,2454914.540300 24 Mar 2009 00:58:01.920000,2457606.397000 5 Aug 2016 21:31:40.800000,8.100,9.000,0.900 
MT COM,115,1,2450210.455500 6 May 1996 22:55:55.200000,2459757.454000 26 Jun 2022 22:53:45.600000,14.400,16.000,1.600 
MU CEN,2,1,2456457.813000 14 Jun 2013 07:30:43.200000,2456477.808000 4 Jul 2013 07:23:31.200000,13.200,15.100,1.900 
MU CRB,6,1,2413461.500000 25 Sep 1895 00:00:00.000000,2413505.500000 8 Nov 1895 00:00:00.000000,5.100,5.400,0.300 
MU HER,15,1,2413431.500000 26 Aug 1895 00:00:00.000000,2413525.500000 28 Nov 1895 00:00:00.000000,4.900,5.600,0.700 
MV DEL,1643,50,2440393.524000 21 Jun 1969 00:34:33.600000,2459118.438000 25 Sep 2020 22:30:43.200000,6.300,11.300,5.000 
MV LYR,2170,13,2448418.513100 11 Jun 1991 00:18:51.840000,2459904.308000 20 Nov 2022 19:23:31.200000,11.700,16.500,4.800 
MV SGR,2,1,2450255.300000 20 Jun 1996 19:12:00.000000,2450309.300000 13 Aug 1996 19:12:00.000000,12.200,12.300,0.100 
MW HER,3,1,2447675.505556 29 May 1989 00:08:00.038400,2447707.467361 29 Jun 1989 23:12:59.990400,10.900,11.000,0.100 
MX LYR,1,1,2448078.582000 6 Jul 1990 01:58:04.800000,2448078.582000 6 Jul 1990 01:58:04.800000,10.400,10.400,0.000 
MX Ori,15,2,2440285.335000 4 Mar 1969 20:02:24.000000,2443240.375000 6 Apr 1977 21:00:00.000000,9.500,10.400,0.900 
MX PER,85,2,2446196.403000 10 May 1985 21:40:19.200000,2458070.736111 13 Nov 2017 05:39:59.990400,3.600,4.000,0.400 
MY DEL,5,1,2457630.431000 29 Aug 2016 22:20:38.400000,2459455.394000 28 Aug 2021 21:27:21.600000,7.900,8.600,0.700 
MZ CEP,1,1,2452273.357600 29 Dec 2001 20:34:56.640000,2452273.357600 29 Dec 2001 20:34:56.640000,10.700,10.700,0.000 
MZ CMa,2,1,2451254.045000 16 Mar 1999 13:04:48.000000,2451261.910000 24 Mar 1999 09:50:24.000000,6.500,6.500,0.000 
NA2,6,1,2451545.227800 1 Jan 2000 17:28:01.920000,2451583.750000 9 Feb 2000 06:00:00.000000,7.800,8.300,0.500 
NGC 1068,1,1,2445354.294000 19 Jan 1983 19:03:21.600000,2445354.294000 19 Jan 1983 19:03:21.600000,9.500,9.500,0.000 
NGC1275,182,3,2451454.453400 2 Oct 1999 22:52:53.760000,2459852.476000 29 Sep 2022 23:25:26.400000,12.700,14.100,1.400 
NGC4151,3208,20,2443557.708000 18 Feb 1978 04:59:31.200000,2459755.487000 24 Jun 2022 23:41:16.800000,10.900,12.900,2.000 
NGC7469,294,6,2444815.508000 30 Jul 1981 00:11:31.200000,2455153.345100 17 Nov 2009 20:16:56.640000,12.370,13.540,1.170 
NN CAM,45,1,2455867.427100 1 Nov 2011 22:15:01.440000,2459679.374000 9 Apr 2022 20:58:33.600000,13.100,16.000,2.900 
NN CEP,29,1,2443393.435000 6 Sep 1977 22:26:24.000000,2444900.367000 22 Oct 1981 20:48:28.800000,7.900,8.500,0.600 
NN CMa,2,1,2451254.044000 16 Mar 1999 13:03:21.600000,2451261.911000 24 Mar 1999 09:51:50.400000,7.300,7.300,0.000 
